timestamp,mmsi,lat,lon,sog,cog,heading,length_m,beam_m,vessel_type,position_accuracy_m,source
2026-08-03T12:00:00+00:00,261100001,53.4,14.59,10.0,90.0,90.0,140.0,22.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:00:00+00:00,261100002,53.4,14.62,10.0,270.0,270.0,120.0,20.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:00:00+00:00,261200001,53.6,14.59,9.0,90.0,90.0,110.0,18.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:00:00+00:00,261200002,53.5921,14.605,8.0,0.0,0.0,85.0,15.0,tanker,10.0,synthetic-deterministic
2026-08-03T12:00:00+00:00,261300001,53.8,14.59,14.0,90.0,90.0,100.0,17.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:00:00+00:00,261300002,53.8,14.602,7.0,90.0,90.0,130.0,21.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:00:30+00:00,261100001,53.4,14.592327901748643,10.0,90.0,90.0,140.0,22.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:00:30+00:00,261100002,53.4,14.617672098251356,10.0,270.0,270.0,120.0,20.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:00:30+00:00,261200001,53.6,14.592105018334122,9.0,90.0,90.0,110.0,18.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:00:30+00:00,261200002,53.593210362343214,14.605,8.0,0.0,0.0,85.0,15.0,tanker,10.0,synthetic-deterministic
2026-08-03T12:00:30+00:00,261300001,53.8,14.593290070189223,14.0,90.0,90.0,100.0,17.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:00:30+00:00,261300002,53.8,14.603645035094612,7.0,90.0,90.0,130.0,21.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:01:00+00:00,261100001,53.4,14.594655803497284,10.0,90.0,90.0,140.0,22.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:01:00+00:00,261100002,53.4,14.615344196502715,10.0,270.0,270.0,120.0,20.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:01:00+00:00,261200001,53.6,14.594210036668242,9.0,90.0,90.0,110.0,18.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:01:00+00:00,261200002,53.594320724686426,14.605,8.0,0.0,0.0,85.0,15.0,tanker,10.0,synthetic-deterministic
2026-08-03T12:01:00+00:00,261300001,53.8,14.596580140378448,14.0,90.0,90.0,100.0,17.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:01:00+00:00,261300002,53.8,14.605290070189223,7.0,90.0,90.0,130.0,21.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:01:30+00:00,261100001,53.4,14.596983705245927,10.0,90.0,90.0,140.0,22.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:01:30+00:00,261100002,53.4,14.613016294754072,10.0,270.0,270.0,120.0,20.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:01:30+00:00,261200001,53.6,14.596315055002364,9.0,90.0,90.0,110.0,18.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:01:30+00:00,261200002,53.59543108702964,14.605,8.0,0.0,0.0,85.0,15.0,tanker,10.0,synthetic-deterministic
2026-08-03T12:01:30+00:00,261300001,53.8,14.599870210567671,14.0,90.0,90.0,100.0,17.0,cargo,10.0,synthetic-deterministic
2026-08-03T12:01:30+00:00,261300002,53.8,14.606935105283837,7.0,90.0,90.0,130.0,21.0,cargo,10.0,synthetic-deterministic
