timestamp,mmsi,lat,lon,sog,cog,heading,length_m,position_accuracy_m
2026-08-03T12:00:00+00:00,261000001,53.4,14.6,10,90,90,140,10
2026-08-03T12:00:00+00:00,261000002,53.4,14.64,10,270,270,120,10
2026-08-03T12:00:00+00:00,261000003,53.38,14.62,8,0,0,90,15
2026-08-03T12:00:00+00:00,261000004,53.41,14.6,7,90,90,70,15
2026-08-03T12:00:30+00:00,261000001,53.4,14.6012,10,90,90,140,10
2026-08-03T12:00:30+00:00,261000002,53.4,14.6388,10,270,270,120,10
2026-08-03T12:00:30+00:00,261000003,53.381,14.62,8,0,0,90,15
2026-08-03T12:00:30+00:00,261000004,53.41,14.6008,7,90,90,70,15
2026-08-03T12:01:00+00:00,261000001,53.4,14.6024,10,90,90,140,10
2026-08-03T12:01:00+00:00,261000002,53.4,14.6376,10,270,270,120,10
2026-08-03T12:01:00+00:00,261000003,53.382000000000005,14.62,8,0,0,90,15
2026-08-03T12:01:00+00:00,261000004,53.41,14.6016,7,90,90,70,15
2026-08-03T12:01:30+00:00,261000001,53.4,14.6036,10,90,90,140,10
2026-08-03T12:01:30+00:00,261000002,53.4,14.6364,10,270,270,120,10
2026-08-03T12:01:30+00:00,261000003,53.383,14.62,8,0,0,90,15
2026-08-03T12:01:30+00:00,261000004,53.41,14.6024,7,90,90,70,15
2026-08-03T12:02:00+00:00,261000001,53.4,14.6048,10,90,90,140,10
2026-08-03T12:02:00+00:00,261000002,53.4,14.635200000000001,10,270,270,120,10
2026-08-03T12:02:00+00:00,261000003,53.384,14.62,8,0,0,90,15
2026-08-03T12:02:00+00:00,261000004,53.41,14.6032,7,90,90,70,15
2026-08-03T12:02:30+00:00,261000001,53.4,14.606,10,90,90,140,10
2026-08-03T12:02:30+00:00,261000002,53.4,14.634,10,270,270,120,10
2026-08-03T12:02:30+00:00,261000003,53.385000000000005,14.62,8,0,0,90,15
2026-08-03T12:02:30+00:00,261000004,53.41,14.604,7,90,90,70,15
2026-08-03T12:03:00+00:00,261000001,53.4,14.607199999999999,10,90,90,140,10
2026-08-03T12:03:00+00:00,261000002,53.4,14.632800000000001,10,270,270,120,10
2026-08-03T12:03:00+00:00,261000003,53.386,14.62,8,0,0,90,15
2026-08-03T12:03:00+00:00,261000004,53.41,14.6048,7,90,90,70,15
2026-08-03T12:03:30+00:00,261000001,53.4,14.6084,10,90,90,140,10
2026-08-03T12:03:30+00:00,261000002,53.4,14.6316,10,270,270,120,10
2026-08-03T12:03:30+00:00,261000003,53.387,14.62,8,0,0,90,15
2026-08-03T12:03:30+00:00,261000004,53.41,14.605599999999999,7,90,90,70,15
